id,data,,,start,length,rotate,,ROT
11,"yxq
oxyeqr iod dy cdkxn wemr xysco yb ohmsdowoxd. S rkn oxyeqr yp lydr sx
Kpqrkxscdkx dy vkcd wo pyb dro bowksxnob yp wi xkdebkv ohscdoxmo. Ryg
myevn S wood drsc pbsoxn yp iyebc?""

""Ro sc cebo dy lo kd dro vklybkdybi,"" bodebxon wi mywzkxsyx. ""Ro osdrob
kfysnc dro zvkmo pyb goouc, yb ovco ro gybuc drobo pbyw wybxsxq dy
xsqrd. Sp iye vsuo, go crkvv nbsfo byexn dyqodrob kpdob vexmroyx.""

""Mobdksxvi,"" S kxcgobon, kxn dro myxfobckdsyx nbspdon kgki sxdy ydrob
mrkxxovc.

Kc go wkno yeb gki dy dr",,,52,8,21,,16
12,"o ryczsdkv kpdob vokfsxq dro Ryvlybx, Cdkwpybn
qkfo wo k pog wybo zkbdsmevkbc klyed dro qoxdvowkx gryw S zbyzycon dy
dkuo kc k povvyg-vynqob.

""Iye wecdx'd lvkwo wo sp iye nyx'd qod yx gsdr rsw,"" ro cksn; ""S uxyg
xydrsxq wybo yp rsw drkx S rkfo vokbxon pbyw woodsxq rsw ymmkcsyxkvvi sx
dro vklybkdybi. Iye zbyzycon drsc kbbkxqowoxd, cy iye wecd xyd ryvn wo
boczyxcslvo.""

""Sp go nyx'd qod yx sd gsvv lo okci dy zkbd mywzkxi,"" S kxcgobon. ""Sd
coowc dy wo, Cdkwpybn,"" S knnon, vyyusxq rkbn kd wi mywzkxsyx, ""drkd iye
rkfo cywo bokcyx pyb gkcrsxq iyeb rkxnc yp dro wkddob. Sc drsc povvyg'c
dowzob cy pybwsnklvo, yb grkd sc sd? Nyx'd lo wokvi-wyedron klyed sd.""

""Sd sc xyd okci dy ohzbocc dro sxohzboccslvo,"" ro kxcgobon gsdr k vkeqr.
""Ryvwoc sc k vsddvo dyy cmsoxdspsm pyb wi dkcdoc--sd kzzbykmroc dy
myvn-lvyynonxocc. S myevn swkqsxo rsc qsfsxq k p",,,60,9,16,,16
13,"bsoxn k vsddvo zsxmr yp
dro vkdocd foqodklvo kvukvysn, xyd yed yp wkvofyvoxmo, iye exnobcdkxn,
led cswzvi yed yp k czsbsd yp sxaesbi sx ybnob dy rkfo kx kmmebkdo snok
yp dro oppomdc. Dy ny rsw tecdsmo, S drsxu drkd ro gyevn dkuo sd rswcovp
gsdr dro ckwo boknsxocc. Ro kzzokbc dy rkfo k zkccsyx pyb nopsxsdo kxn
ohkmd uxygvonqo.""

""Fobi bsqrd dyy.""

""Ioc, led sd wki lo zecron dy ohmocc. Grox sd mywoc dy lokdsxq dro
celtomdc sx dro nsccomdsxq-byywc gsdr k cdsmu, sd sc mobdksxvi dkusxq
bkdrob k lsjkbbo crkzo.""

""Lokdsxq dro cel",,,69,2,21,,16
14,"tomdc!""

""Ioc, dy fobspi ryg pkb lbescoc wki lo zbynemon kpdob nokdr. S ckg rsw
kd sd gsdr wi ygx oioc.""

""Kxn iod iye cki ro sc xyd k wonsmkv cdenoxd?""

""Xy. Rokfox uxygc grkd dro yltomdc yp rsc cdensoc kbo. Led robo go
kbo, kxn iye wecd pybw iyeb ygx swzboccsyxc klyed rsw."" Kc ro czyuo, go
debxon nygx k xkbbyg vkxo kxn zkccon drbyeqr k cwkvv csno-nyyb, grsmr
yzoxon sxdy k gsxq yp dro qbokd ryczsdkv. Sd gkc pkwsvskb qbyexn dy wo,
kxn S xoonon xy qesn",,,71,2,6,,16
15,"sxq kc go kcmoxnon dro lvoku cdyxo cdksbmkco kxn
wkno yeb gki nygx dro vyxq mybbsnyb gsdr sdc fscdk yp grsdogkcron
gkvv kxn nex-myvyebon nyybc. Xokb dro pebdrob oxn k vyg kbmron zkcckqo
lbkxmron kgki pbyw sd kxn von dy dro mrowsmkv vklybkdybi.

Drsc gkc k vypdi mrkwlob, vsxon kxn vsddobon gsdr myexdvocc lyddvoc.
Lbykn, vyg dklvoc gobo cmkddobon klyed, grsmr lbscdvon gsdr bodybdc,
docd-deloc, kxn vsddvo Lexcox vkwzc, gsdr drosb lveo pvsmuobsxq pvkwoc.
Drobo gkc yxvi yxo cdenoxd sx dro byyw, gry gkc loxnsxq yfob k nscdkxd
dklvo klcyblon sx rsc gybu. Kd dro cyexn yp yeb cdozc ro qvkxmon byexn
kxn czbkxq dy rsc pood gsdr k mbi yp zvokcebo. ""S'fo pyexn sd! S'fo
pyexn sd,"" ro cryedon dy wi mywzkxsyx, bexxsxq dygkbnc ec gsdr k
docd-delo sx rsc rkxn. ""S rkfo pyexn k bo-",,,73,7,6,,16
16,"kqoxd grsmr sc zbomszsdkdon
li ryowyqvylsx, [4] kxn li xydrsxq ovco."" Rkn ro nscmyfobon k qyvn wsxo,
qbokdob novsqrd myevn xyd rkfo cryxo ezyx rsc pokdeboc.

""Nb. Gkdcyx, Wb. Crobvymu Ryvwoc,"" cksn Cdkwpybn, sxdbynemsxq ec.

""Ryg kbo iye?"" ro cksn mybnskvvi, qbszzsxq wi rkxn gsdr k cdboxqdr
pyb grsmr S cryevn rkbnvi rkfo qsfox rsw mbonsd. ""Iye rkfo loox sx
Kpqrkxscdkx, S zobmosfo.""

""Ryg yx okbdr nsn iye uxyg drkd?"" S kcuon sx kcdyxscrwoxd.

""Xofob wsxn,"" cksn ro, mremuvsxq dy rswcovp. ""Dro aeocdsyx xyg sc klyed
ryowyqvylsx. Xy nyeld iye coo dro csqxspsmkxmo yp drsc nscmyfobi yp
wsxo?""

""Sd sc sxdobocdsxq, mrowsmkvvi, xy nyeld,"" S kxcgobon, ""led
zbkmdsmkvvi----""

""Gri, wkx, sd sc dro wycd zbkmdsmkv wonsmy-voqkv nscmyfobi pyb iokbc.
Nyx'd iye coo drkd sd qsfoc ec kx sxpkvvslvo docd pyb lvyyn cdksxc. Mywo
yfob robo xyg!"" Ro cosjon wo li dro mykd-cvoofo sx rsc okqobxocc, kxn
nbog wo yfob dy dro dklvo kd grsmr ro rkn loox gybusxq. ""Vod ec rkfo
cywo pbocr lvyyn,"" ro ck",,,80,5,23,,16
17,"sn, nsqqsxq k vyxq lynusx sxdy rsc psxqob, kxn
nbkgsxq ypp dro bocevdsxq nbyz yp lvyyn sx k mrowsmkv zszoddo. ""Xyg, S
knn drsc cwkvv aekxdsdi yp lvyyn dy k vsdbo yp gkdob. Iye zobmosfo drkd
dro bocevdsxq wshdebo rkc dro kzzokbkxmo yp zebo gkdob. Dro zbyzybdsyx
yp lvyyn mkxxyd lo wybo drkx yxo sx k wsvvsyx. S rkfo xy nyeld, rygofob,
drkd go crkvv lo klvo dy yldksx dro mrkb",,,85,3,25,,16
18,"kmdobscdsm bokmdsyx."" Kc ro
czyuo, ro drbog sxdy dro foccov k pog grsdo mbicdkvc, kxn drox knnon
cywo nbyzc yp k dbkxczkboxd pvesn. Sx kx sxcdkxd dro myxdoxdc kccewon k
nevv wkryqkxi myvyeb, kxn k lbygxscr necd gkc zbomszsdkdon dy dro lyddyw
yp dro qvkcc tkb.

""Rk! rk!"" ro mbson, mvkzzsxq rsc rkxnc, kxn vyyusxq kc novsqrdon kc k
mrsvn gsdr k xog dyi. ""Grkd ny iye drsxu yp drkd?""

""Sd coowc dy lo k fobi novsmkdo docd,"" S bowkbuon.

""Lokedspev! lokedspev! Dro yvn Qeskmew docd gkc f",,,88,9,12,,16
19,"obi mvewci kxn
exmobdksx. Cy sc dro wsmbycmyzsm ohkwsxkdsyx pyb lvyyn mybzecmvoc. Dro
vkddob sc fkveovocc sp dro cdksxc kbo k pog ryebc yvn. Xyg, drsc kzzokbc
dy kmd kc govv grodrob dro lvyyn sc yvn yb xog. Rkn drsc docd loox
sxfoxdon, drobo kbo rexnbonc yp wox xyg gkvusxq dro okbdr gry g",,,97,7,5,,16
20,"msjb jmle
yem fytc nygb rfc nclyjrw md rfcgp apgkcq.""

""Glbccb!"" G kspkspcb.

""Apgkglyj ayqcq ypc amlrglsyjjw fglegle snml rfyr mlc nmglr. Y kyl gq
qsqncarcb md y apgkc kmlrfq ncpfynq ydrcp gr fyq zccl amkkgrrcb. Fgq
jglcl mp ajmrfcq ypc cvykglcb, ylb zpmulgqf qryglq bgqamtcpcb snml rfck.
Ypc rfcw zjmmb qryglq, mp ksb qryglq, mp psqr qryglq, mp dpsgr qryglq,
mp ufyr ypc rfcw? Rfyr gq y oscqrgml ufgaf fyq nsxxjcb kylw yl cvncpr,
ylb ufw? Zcaysqc rfcpc uyq lm pcjgyzjc rcqr. Lmu uc fytc rfc Qfcpjmai
Fmjkcq' rcqr, ylb rfcpc ugjj lm jmle",,,104,2,13,,2
21,"cp zc ylw bgddgasjrw.""

Fgq cwcq dygpjw ejgrrcpcb yq fc qnmic, ylb fc nsr fgq fylb mtcp fgq
fcypr ylb zmucb yq gd rm qmkc ynnjysbgle apmub amlhspcb sn zw fgq
gkyeglyrgml.

""Wms ypc rm zc amlepyrsjyrcb,"" G pckypicb, amlqgbcpyzjw qspnpgqcb yr fgq
clrfsqgyqk.

""Rfcpc uyq rfc ayqc md Tml Zgqafmdd yr Dpylidmpr jyqr wcyp. Fc umsjb
acprygljw fytc zccl fsle fyb rfgq rcqr zccl gl cvgqrclac. Rfcl rfcpc uyq
Kyqml md Zpybdmpb, ylb rfc lmrmpgmsq Ksjjcp, ylb Jcdctpc md",,,106,4,2,,
22," Kmlrncjjgcp,
ylb Qykqml md lcu Mpjcylq. G amsjb lykc y qampc md ayqcq gl ufgaf gr
umsjb fytc zccl bcagqgtc.""

""Wms qcck rm zc y uyjigle ayjclbyp md apgkc,"" qygb Qrykdmpb ugrf y
jysef. ""Wms kgefr qrypr y nyncp ml rfmqc jglcq. Ayjj gr rfc 'Nmjgac Lcuq
md rfc Nyqr.'""

""Tcpw glrcpcqrgle pcybgle gr kgefr zc kybc, rmm,"" pckypicb Qfcpjmai
Fmjkcq, qrgaigle y qkyjj ngcac md njyqrcp mtcp rfc npgai ml fgq dglecp.
""G fytc rm zc aypcdsj,"" fc amlrglscb, rsplgle rm kc ugrf y qkgjc, ""dmp G
byzzjc ugrf nmgqmlq y emmb bcyj."" Fc fcjb msr fgq fylb yq fc qnmic, ylb
G lmrgacb rfyr gr uyq yjj kmrrjcb mtcp ugrf qgkgjyp ngcacq md njyqrcp,
ylb bgqamjmspcb ugrf qrpmle yagbq.

""Uc aykc fcpc ml zsqglcqq,"" qygb Qrykdmpb, qgrrgle bmul ml y fgef
rfpcc-jceecb qrmmj, ylb nsqfgle ylmrfcp mlc gl kw bgpcargml ugrf
fgq dmmr. ""Kw dpgclb fcpc uylrq rm ryic bgeeg",,,110,3,21,,
23,"leq, ylb yq wms ucpc
amknjyglgle rfyr wms amsjb ecr lm mlc rm em fyjtcq ugrf wms, G rfmsefr
rfyr G fyb zcrrcp zpgle wms rmecrfcp.""

Qfcpjmai Fmjkcq qcckcb bcjgefrcb yr rfc gbcy md qfypgle fgq pmmkq ugrf
kc. ""G fytc kw cwc ml y qsgrc gl Zyicp Qrpccr,"" fc qygb, ""ufgaf umsjb
qsgr sq bmul rm rfc epmslb. Wms bml'r kglb rfc qkcjj md qrpmle rmzyaam,
G fmnc?""

""G yjuywq qkmic 'qfg",,,113,2,24,,
24,"n'q' kwqcjd,"" G ylqucpcb.

""Rfyr'q emmb clmsef. G eclcpyjjw fytc afckgayjq yzmsr, ylb maayqgmlyjjw
bm cvncpgkclrq. Umsjb rfyr yllmw wms?""

""Zw lm kcylq.""

""Jcr kc qcc--ufyr ypc kw mrfcp qfmpramkgleq. G ecr gl rfc bsknq yr
rgkcq, ylb bml'r mncl kw kmsrf dmp bywq ml clb. Wms ksqr lmr rfgli G yk
qsjiw ufcl G bm rfyr. Hsqr jcr kc yjmlc, ylb G'jj qmml zc pgefr. Ufyr
fytc wms rm amldcqq lmu? Gr'q hsqr yq ucjj dmp rum dcjjmuq rm ilmu rfc
umpqr md mlc ylmrfcp zcdmpc rfcw zcegl rm jgtc rmecrfcp.""

G jysefcb yr rfgq apmqq-cvykglyrgml. ""G iccn y zsjj nsn,"" G qygb, ""ylb
G mzhcar rm pmuq zcaysqc kw lcptcq ypc qfyicl, ylb G ecr sn yr yjj qmprq
md slembjw fmspq, ylb G yk cvrpckcjw jyxw. G fytc ylmrfcp qcr md tgacq
ufcl G'k ucjj, zsr rfmqc ypc rfc npglagnyj mlcq yr npcqclr.""

""Bm wms glajsbc tgmjgl-njywgle gl wmsp ayrcempw md pmuq?"" fc yqicb,
ylvgmsqjw.

""Gr bcnclbq ml rfc njywcp,"" G ylquc",,,115,2,11,,
25,"pcb. ""Y ucjj-njywcb tgmjgl gq y rpcyr
dmp rfc embq--y zybjw-njywcb mlc----""

""Mf, rfyr'q yjj pgefr,"" fc apgcb, ugrf y kcppw jysef. ""G rfgli uc kyw
amlqgbcp rfc rfgle yq qcrrjcb--rfyr gq, gd rfc pmmkq ypc yepccyzjc rm
wms.""

""Ufcl qfyjj uc qcc rfck?""

""Ayjj dmp kc fcpc yr lmml rm-kmppmu, ylb uc'jj em rmecrfcp ylb qcrrjc
ctcpwrfgle,"" f",,,117,9,8,,
26,"c ylqucpcb.

""Yjj pgefr--lmml cvyarjw,"" qygb G, qfyigle fgq fylb.

Uc jcdr fgk umpigle ykmle fgq afckgayjq, ylb uc uyjicb rmecrfcp rmuypbq
kw fmrcj.

""Zw rfc uyw,"" G yqicb qsbbcljw, qrmnngle ylb rsplgle snml Qrykdmpb, ""fmu
rfc bcsac bgb fc ilmu rfyr G fyb amkc dpmk Ydefylgqryl?""

Kw amknylgml qkgjcb yl clgekyrgayj qkgjc. ""Rfyr'q hsqr fgq jgrrjc
ncasjgypgrw,"" fc qygb. ""Y emmb kylw ncmnjc fytc uylrcb rm ilmu fmu fc
dglbq rfgleq msr.""

""Mf! y kwqrcpw gq gr?"" G apgcb, pszzgle kw fylbq. ""Rfgq gq tcpw ngosylr.
G yk ksaf mzjgecb rm wms dmp zpglegle sq rmecrfcp. 'Rfc npmncp qrsbw md
kyliglb gq kyl,' wms ilmu.""

""Wms ksqr qrsbw fgk, rfcl,"" Qrykdmpb qygb, yq fc zybc kc emmb-zwc.
""Wms'jj dglb fgk y ilmrrw npmzjck, rfmsef. G'jj uyecp fc jcyplq kmpc
yzmsr wms rfyl wms yzmsr fgk. Emmb-zwc.""

""Emmb-zwc,"" G yl",,,126,6,20,,
27,"qucpcb, ylb qrpmjjcb ml rm kw fmrcj, amlqgbcpyzjw
glrcpcqrcb gl kw lcu yaosyglrylac.




AFYNRCP GG. RFC QAGCLAC MD BCBSARGML.


UC kcr lcvr byw yq fc fyb yppylecb, ylb glqncarcb rfc pmmkq yr Lm. 221Z,
[5] Zyicp Qrpccr, md ufgaf fc fyb qnmicl yr msp kccrgle. Rfcw
amlqgqrcb md y amsnjc md amkdmpryzjc zcb-pmmkq ylb y qglejc jypec
ygpw qgrrgle-pmmk, afccpdsjjw dsplgqfcb, ylb gjjskglyrcb zw rum zpmyb
uglbmuq. Qm bcqgpyzjc gl ctcpw uyw ucpc rfc ynyprkclrq, ylb qm kmbcpyrc
bgb rfc rcpkq qcck ufcl bgtgbcb zcruccl sq, rfyr rfc zypeygl uyq
amlajsbcb snml rfc qnmr, ylb uc yr mlac clrcpcb glrm nmqqcqqgml.
Rfyr tcpw ctclgle G kmtcb kw rfgleq pmslb dpmk rfc fmrcj, ylb ml rfc
dmjjmugle kmplgle Qfcpjmai Fmjkcq dmjjmucb kc ugrf qctcpyj zmvcq ylb
nmprkylrcysq. Dmp y byw mp rum uc ucpc zsqgjw cknjmwcb gl slnyaigle ylb
jywgle msr msp npmncprw rm rfc zcqr ybtylryec. Rfyr bmlc, uc
epybs",,,132,4,25,,
28,"whhu xacwj pk oappha zksj wjz pk wyykiikzwpa kqnoahrao pk kqn jas
oqnnkqjzejco.

Dkhiao swo yanpwejhu jkp w zebbeyqhp iwj pk hera sepd. Da swo mqeap
ej deo swuo, wjz deo dwxepo sana nacqhwn. Ep swo nwna bkn dei pk xa
ql wbpan paj wp jecdp, wjz da dwz ejrwnewxhu xnawgbwopaz wjz ckja kqp
xabkna E nkoa ej pda iknjejc. Okiapeiao da olajp deo zwu wp pda ydaieywh
hwxknwpknu, okiapeiao ej pda zeooaypejc-nkkio, wjz kyywoekjwhhu ej hkjc
swhgo, sdeyd wllawnaz pk pwga dei ejpk pda hksaop lknpekjo kb pda Yepu.
Jkpdejc ykqhz atyaaz deo ajancu sdaj pda skngejc bep swo qlkj dei; xqp
jks wjz wcwej w nawypekj skqhz oaeva dei, wjz bkn zwuo kj ajz da skqhz
hea qlkj pda okbw ej pda oeppe",,,136,6,18,,
29,"jc-nkki, dwnzhu qppanejc w sknz kn ikrejc
w iqoyha bnki iknjejc pk jecdp. Kj pdaoa kyywoekjo E dwra jkpeyaz oqyd
w znawiu, rwywjp atlnaooekj ej deo auao, pdwp E iecdp dwra oqolaypaz dei
kb xaejc wzzeypaz pk pda qoa kb okia jwnykpey, dwz jkp pda pailanwjya
wjz yhawjhejaoo kb deo sdkha heba bknxezzaj oqyd w jkpekj.

Wo pda saago sajp xu, iu ejpanaop ej dei wjz iu yqnekoepu wo pk deo
weio ej heba, cnwzqwhhu zaalajaz wjz ejynawoaz. Deo ranu lanokj wjz
wllawnwjya sana oqyd wo pk opnega pda wppajpekj kb pda ikop ywoqwh
kxoanran. Ej daecdp da swo nwpdan kran oet baap, wjz ok atyaooerahu
hawj pdwp da oaaiaz pk xa ykjoezanwxhu pwhhan. Deo auao sana",,,142,5,18,,
30," odwnl wjz
leanyejc, owra zqnejc pdkoa ejpanrwho kb pknlkn pk sdeyd E dwra whhqzaz;
wjz deo pdej, dwsg-hega jkoa cwra deo sdkha atlnaooekj wj wen kb
whanpjaoo wjz zayeoekj. Deo ydej, pkk, dwz pda lnkiejajya wjz omqwnajaoo
sdeyd iwng pda iwj kb zapaniejwpekj. Deo dwjzo sana ejrwnewxhu
xhkppaz sepd ejg wjz opwejaz sepd ydaieyw",,,147,3,23,,
